Location ID,Horizontal Position (TL-in),Vertical Position (TL-in),Horizontal Position (C-in),Vertical Position (C-in),connected-to,Bubble Diameter (in),Meter-to-Inch ratio
1,5.37,1.09,5.47,1.19,2,0.2,10
2,5.7,0.98,5.8,1.08,1;3;7,,
3,6.29,0.84,6.39,0.94,2;4,,
4,7.08,0.62,7.18,0.72,3;5;9,,
5,7.62,0.47,7.72,0.57,4;10,,
6,5.07,1.55,5.17,1.65,7,,
7,5.65,1.61,5.75,1.71,2;6;8,,
8,6.23,1.65,6.33,1.75,7;11,,
9,7.05,1.16,7.15,1.26,4;11,,
10,7.68,1.09,7.78,1.19,5;12,,
11,7.06,1.71,7.16,1.81,8;9;12;13,,
12,7.78,1.71,7.88,1.81,10;11,,
13,7.02,2.38,7.12,2.48,11;17,,
14,5.27,3.18,5.37,3.28,15,,
15,5.8,3.18,5.9,3.28,14;16;19;20,,
16,6.43,3.18,6.53,3.28,15;17,,
17,7.02,3.18,7.12,3.28,13;16;18;21,,
18,7.63,3.17,7.73,3.27,17;22,,
19,5.39,3.77,5.49,3.87,15;20;23,,
20,5.75,3.97,5.85,4.07,15;19;23,,
21,6.78,3.73,6.88,3.83,17;25,,
22,7.52,3.53,7.62,3.63,18;26,,
23,5.65,4.4,5.75,4.5,19;20;24,,
24,6.05,4.5,6.15,4.6,23;27,,
25,6.75,4.17,6.85,4.27,21;26;27,,
26,7.36,4.07,7.46,4.17,22;25,,
27,6.58,4.56,6.68,4.66,24;25;28,,
28,6.33,5.34,6.43,5.44,27;29,,
29,6.31,5.8,6.41,5.9,28;30;31,,
30,6.29,6.41,6.39,6.51,29,,
31,6.85,5.98,6.95,6.08,29;32,,
32,7.36,6.17,7.46,6.27,31,,