HIT Index,HIT ID,HITType ID,Assignment ID,Worker ID,Total Time (seconds),question0-ref,question0-total-cost,question0-answer,question0-confidence,question0-elapsedTime,question1-ref,question1-total-cost,question1-answer,question1-confidence,question1-elapsedTime,question2-ref,question2-total-cost,question2-answer,question2-confidence,question2-elapsedTime,question3-ref,question3-total-cost,question3-answer,question3-confidence,question3-elapsedTime
0,3BA7SXOG1LPO17RJMOEPLRAB3IOR82,35280GTXAPQ35X4ZWHDC3QI4GWDOVS,3PWWM24LHVXAK78SX04Q83YSQOR28Y,A7P3R1AIA4TVV,1106,question-mission12-agent0,181,yes,fairly,97353,question-mission85-agent0,108,yes,completely,14373,question-mission26-agent0,155,no,completely,39149,question-mission74-agent2,159,yes,somewhat,146259
0,3BA7SXOG1LPO17RJMOEPLRAB3IOR82,35280GTXAPQ35X4ZWHDC3QI4GWDOVS,3GFK2QRXXCGD95NXDMMUKQ4QS5L5WH,A1SIUJEL2LS8UO,1164,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,question-mission74-agent2,211,yes,somewhat,91468
0,3BA7SXOG1LPO17RJMOEPLRAB3IOR82,35280GTXAPQ35X4ZWHDC3QI4GWDOVS,35BLDD71I9WY1U7HU0OENSS7MVTVZ6,A272X64FOZFYLB,722,question-mission12-agent0,206,yes,fairly,183265,question-mission85-agent0,108,yes,completely,60012,question-mission26-agent0,173,yes,fairly,80461,question-mission74-agent2,199,yes,fairly,73092
0,3BA7SXOG1LPO17RJMOEPLRAB3IOR82,35280GTXAPQ35X4ZWHDC3QI4GWDOVS,3WOKGM4L74F69PSUPUP8M1VD8WUO0O,A1DMXEJGJY02E1,721,question-mission12-agent0,189.8,no,completely,127270,question-mission85-agent0,108,yes,completely,36854,question-mission26-agent0,155,no,somewhat,80468,question-mission74-agent2,199,yes,fairly,24337
1,3UOMW19E6F518NJY6THRKC1Y1RRC5M,35280GTXAPQ35X4ZWHDC3QI4GWDOVS,3P4RDNWND853F9IDD7M9K9ENVWLIJE,A38Z99XF4NDNH0,471,question-mission13-agent0,186,no,slightly,93320,question-mission95-agent0,138,yes,somewhat,25818,question-mission75-agent0,181,no,completely,35327,question-mission54-agent0,303,no,completely,62365
1,3UOMW19E6F518NJY6THRKC1Y1RRC5M,35280GTXAPQ35X4ZWHDC3QI4GWDOVS,3HRMW88U19PI9M7ICEAVUX68DWYM0Q,A1K5ILJMG439M5,1051,question-mission13-agent0,393,yes,somewhat,260413,question-mission95-agent0,108,yes,fairly,61612,question-mission75-agent0,335,yes,somewhat,139476,question-mission54-agent0,303,no,slightly,90964
1,3UOMW19E6F518NJY6THRKC1Y1RRC5M,35280GTXAPQ35X4ZWHDC3QI4GWDOVS,3QBD8R3Z24IN8DAV8VCAY4LQP9MO4I,A19ZWBQT8A3LIR,562,question-mission13-agent0,393,yes,somewhat,144179,question-mission95-agent0,108,yes,fairly,36361,question-mission75-agent0,335,yes,somewhat,84381,question-mission54-agent0,116,yes,completely,36286
2,3W1K7D6QSDGG5WBHZHSCYW2BK52BZO,35280GTXAPQ35X4ZWHDC3QI4GWDOVS,3OVHNO1VE90C7D7V3FOKH6M0MQKZDA,A3MLUEOP3CCLXL,591,question-mission24-agent0,324,no,somewhat,87952,question-mission94-agent0,550,no,completely,39722,question-mission37-agent0,314,yes,fairly,41108,question-mission10-agent0,506,no,somewhat,35379
2,3W1K7D6QSDGG5WBHZHSCYW2BK52BZO,35280GTXAPQ35X4ZWHDC3QI4GWDOVS,3HL8HNGX480UZ63EQNPBSINSJ0H9FL,A1FYWSPNO7KN1O,945,question-mission24-agent0,324,yes,fairly,131234,question-mission94-agent0,108,yes,completely,30489,question-mission37-agent0,314,yes,completely,78700,question-mission10-agent0,506,yes,fairly,66904
2,3W1K7D6QSDGG5WBHZHSCYW2BK52BZO,35280GTXAPQ35X4ZWHDC3QI4GWDOVS,323Q6SJS8LFNECLXOZD35ZLG2DVFHN,A38NFX88VZDMJ3,1510,question-mission24-agent0,324,yes,fairly,323774,question-mission94-agent0,108,yes,completely,45135,question-mission37-agent0,314,no,slightly,88289,question-mission10-agent0,506,yes,fairly,67430
2,3W1K7D6QSDGG5WBHZHSCYW2BK52BZO,35280GTXAPQ35X4ZWHDC3QI4GWDOVS,3YJ6NA41JEFVWV5HQ2CTT6FZHCVPJG,A17Q4QN6UE0EZC,1362,question-mission24-agent0,324,yes,fairly,211874,question-mission94-agent0,108,yes,completely,27562,question-mission37-agent0,314,yes,fairly,42315,question-mission10-agent0,506,yes,fairly,53934
3,36QZ6V158BCY0JY94GFZ7TXWMBBSUJ,35280GTXAPQ35X4ZWHDC3QI4GWDOVS,3GS6S824STWHZUT3HMIGE74CJT7WNQ,AQAXDL1INQC9Q,694,question-mission25-agent2,142,yes,fairly,249135,question-mission82-agent0,108,yes,completely,71682,question-mission52-agent7,225,yes,fairly,153990,question-mission11-agent0,203,no,fairly,134425
3,36QZ6V158BCY0JY94GFZ7TXWMBBSUJ,35280GTXAPQ35X4ZWHDC3QI4GWDOVS,39RP059MEKSJT9ASAU7KEE2R42GBMQ,A1VAL7L9L79IN0,1749,question-mission25-agent2,205,yes,fairly,195003,question-mission82-agent0,108,yes,completely,20059,question-mission52-agent7,225,yes,fairly,52468,question-mission11-agent0,203,yes,somewhat,36274
3,36QZ6V158BCY0JY94GFZ7TXWMBBSUJ,35280GTXAPQ35X4ZWHDC3QI4GWDOVS,3IXQG4FA2WX4MPRYLL3F9SW743A9BQ,A2QPMJ4GADLUW2,530,question-mission25-agent2,115,yes,fairly,121683,question-mission82-agent0,108,yes,completely,65153,question-mission52-agent7,225,yes,fairly,103974,question-mission11-agent0,203,yes,completely,74537
4,3CRWSLD91M30PJ17OX74WE61C40MOR,35280GTXAPQ35X4ZWHDC3QI4GWDOVS,3FTOP5WARINS8E1X9HX3E5ER9MS0JT,A4LCG4MSNJRUF,536,question-mission34-agent1,194,no,fairly,76950,question-mission84-agent0,108,yes,completely,22682,question-mission14-agent0,207,no,somewhat,86278,question-mission48-agent6,173,yes,fairly,63191
4,3CRWSLD91M30PJ17OX74WE61C40MOR,35280GTXAPQ35X4ZWHDC3QI4GWDOVS,3PPTZCWALTJ6WMB081U4H5TZ5O4QZ3,A1A1A9UHNQCI9Y,873,question-mission34-agent1,182,no,none,165965,question-mission84-agent0,108,yes,completely,104968,question-mission14-agent0,163,yes,fairly,144685,question-mission48-agent6,156,no,somewhat,112221
4,3CRWSLD91M30PJ17OX74WE61C40MOR,35280GTXAPQ35X4ZWHDC3QI4GWDOVS,3R5F3LQFV5J3BAYKTO20S0YZQNPOZW,A3UN1F1EOHKKE6,923,question-mission34-agent1,182,yes,completely,29876,question-mission84-agent0,108,yes,completely,21656,question-mission14-agent0,146,yes,completely,89195,question-mission48-agent6,161,yes,fairly,58640
5,3ABAOCJ4RA33AVEN3AZ8LJ11R5KMQ1,35280GTXAPQ35X4ZWHDC3QI4GWDOVS,3VE8AYVF8PWUL1K4LVJXSMSHZDW8FU,A37S96RT1P1IT2,1239,question-mission35-agent0,314,yes,somewhat,167214,question-mission92-agent0,108,yes,completely,50117,question-mission15-agent0,486,yes,somewhat,64117,question-mission31-agent6,403,no,slightly,83411
5,3ABAOCJ4RA33AVEN3AZ8LJ11R5KMQ1,35280GTXAPQ35X4ZWHDC3QI4GWDOVS,31QTRG6Q2WCLRK0GC2DW3TUNUZ2YPJ,A3GAQNTZ1V1VO,635,question-mission35-agent0,314,yes,somewhat,142272,question-mission92-agent0,108,yes,completely,42708,question-mission15-agent0,486,no,slightly,137879,question-mission31-agent6,403,no,completely,70233
5,3ABAOCJ4RA33AVEN3AZ8LJ11R5KMQ1,35280GTXAPQ35X4ZWHDC3QI4GWDOVS,3IXEICO795IH0SJHN0ROPCBRKU1T6U,AY8V73VAPWWIQ,1010,question-mission35-agent0,314,yes,fairly,275145,question-mission92-agent0,108,yes,completely,24480,question-mission15-agent0,486,yes,completely,106813,question-mission31-agent6,403,no,completely,165047
6,32XN26MTX1IVGKR3M04E60VUEYU0LH,35280GTXAPQ35X4ZWHDC3QI4GWDOVS,3I0BTBYZA0KI33WWVHY6OSTFMT6Y0W,A3CXK1KSRGU27V,1651,question-mission45-agent7,220,no,somewhat,95609,question-mission81-agent0,108,yes,completely,17007,question-mission69-agent0,221,no,slightly,80639,question-mission5-agent0,249,no,fairly,668888
6,32XN26MTX1IVGKR3M04E60VUEYU0LH,35280GTXAPQ35X4ZWHDC3QI4GWDOVS,3OUYGIZWRAXOUP4V4U2NB103IO80P9,AVBRJBJONL47I,951,question-mission45-agent7,229,yes,fairly,146554,question-mission81-agent0,108,yes,completely,18571,question-mission69-agent0,221,yes,somewhat,132189,question-mission5-agent0,239,yes,slightly,103430
6,32XN26MTX1IVGKR3M04E60VUEYU0LH,35280GTXAPQ35X4ZWHDC3QI4GWDOVS,3DR23U6WE8DLD7CWTIAM10341TLETY,A1SX8IVV82M0LW,308,question-mission45-agent7,220,no,completely,40334,question-mission81-agent0,108,yes,completely,28468,question-mission69-agent0,203,yes,fairly,23931,question-mission5-agent0,249,yes,completely,38246
7,33N1S8XHHOKFSYTPXKZNSKP2YZH1ZD,3KBQBQZF8CA1Y9D20MZVW39H5RCAPY,3X66WABAJZHEY4ATKYUJJQKIKBGG3V,A31681CCEVDIH3,996,question-mission46-agent7,236,yes,fairly,438200,question-mission91-agent1,772,no,completely,61211,question-mission63-agent8,339,no,fairly,49866,question-mission64-agent1,301,yes,fairly,82272
7,33N1S8XHHOKFSYTPXKZNSKP2YZH1ZD,3KBQBQZF8CA1Y9D20MZVW39H5RCAPY,3TMFV4NEPBDWWN6ZBKTXWAEHULXW81,ARWF605I7RWM7,1782,question-mission46-agent7,236,yes,somewhat,336678,question-mission91-agent1,532,no,fairly,212227,question-mission63-agent8,249,no,somewhat,374261,question-mission64-agent1,241,yes,somewhat,203849
7,33N1S8XHHOKFSYTPXKZNSKP2YZH1ZD,3KBQBQZF8CA1Y9D20MZVW39H5RCAPY,37TRT2X24TQTS1477XUSYMAA0VMJB5,A2JP9IKRHNLRPI,291,question-mission46-agent7,236,yes,fairly,49479,question-mission91-agent1,772,no,completely,55471,question-mission63-agent8,339,no,somewhat,39400,question-mission64-agent1,301,yes,somewhat,21819
8,3Y40HMYLL3H6W0K8YQLM61EO1ZMXUN,35I9CFS6VKZCBHEHSVIUFVSJRZI5ID,3OHYZ19UGF42A2QCHWM1B77QIK1OAF,A2N2GFB33ZMYGF,946,question-mission56-agent0,171,yes,fairly,177184,question-mission83-agent1,844,no,completely,105447,question-mission79-agent0,307,yes,fairly,136773,question-mission8-agent0,357,yes,completely,78177
8,3Y40HMYLL3H6W0K8YQLM61EO1ZMXUN,35I9CFS6VKZCBHEHSVIUFVSJRZI5ID,3YDGXNSEO2TKNLNF1ENE1IVQB5A84U,A2GFU1QB3HGIX7,363,question-mission56-agent0,264,yes,fairly,174818,question-mission83-agent1,844,no,completely,84420,question-mission79-agent0,307,yes,completely,30139,question-mission8-agent0,357,yes,completely,29883
8,3Y40HMYLL3H6W0K8YQLM61EO1ZMXUN,35I9CFS6VKZCBHEHSVIUFVSJRZI5ID,3U5JL4WY5N8A2MON9MZ6HHCJ2EJX4R,ARI1EMAHUA9PO,816,question-mission56-agent0,264,yes,somewhat,330028,question-mission83-agent1,844,no,fairly,92070,question-mission79-agent0,307,yes,somewhat,75867,question-mission8-agent0,357,yes,fairly,113016
9,302OLP89D16YETVF1P88SNHKTEBACR,35I9CFS6VKZCBHEHSVIUFVSJRZI5ID,3UWN2HHPU14OSDCUXH8FHI1REGLNSD,A2I960JYUZ8KAV,1245,question-mission57-agent0,195,yes,somewhat,139722,question-mission93-agent0,108,yes,completely,37147,question-mission47-agent6,223,no,slightly,80393,question-mission6-agent1,276,yes,somewhat,50427
9,302OLP89D16YETVF1P88SNHKTEBACR,35I9CFS6VKZCBHEHSVIUFVSJRZI5ID,3M81GAB8A3IAEO8K2NE1VNMWF4AQBS,A2TLN8489YGY81,1274,question-mission57-agent0,222,yes,completely,583670,question-mission93-agent0,108,yes,completely,35268,question-mission47-agent6,223,yes,completely,194886,question-mission6-agent1,276,yes,completely,81422
9,302OLP89D16YETVF1P88SNHKTEBACR,35I9CFS6VKZCBHEHSVIUFVSJRZI5ID,3CTOC39K3AP6QP1HUGICTKOEIJ3J7K,A2QWTQ4I70BRWO,1976,question-mission57-agent0,222,no,fairly,189256,question-mission93-agent0,108,yes,completely,38471,question-mission47-agent6,223,no,fairly,68177,question-mission6-agent1,276,yes,slightly,58278
10,3KI0JD2ZU3HRFAOGKVJLWWNKWL867K,35I9CFS6VKZCBHEHSVIUFVSJRZI5ID,3OONKJ5DKFI7TCV4NAMX6IRW04OOBG,A9A2IX3OBORBE,1210,question-mission58-agent4,271,no,completely,76347,question-mission88-agent1,340,no,completely,41366,question-mission41-agent0,248,yes,completely,27371,question-mission65-agent2,326,no,completely,50364
10,3KI0JD2ZU3HRFAOGKVJLWWNKWL867K,35I9CFS6VKZCBHEHSVIUFVSJRZI5ID,3RSDURM96DLHUTBQ3OXL9HVJHBFEYW,A2ZQCHONMAJZF,2034,question-mission58-agent4,277,yes,fairly,758712,question-mission88-agent1,337.2,no,completely,134517,question-mission41-agent0,234,no,completely,83146,question-mission65-agent2,326,yes,fairly,77053
10,3KI0JD2ZU3HRFAOGKVJLWWNKWL867K,35I9CFS6VKZCBHEHSVIUFVSJRZI5ID,39N5ACM9HHM6QJS84QLG4C1WMCHP9U,A1C7XI68SED8JE,615,question-mission58-agent4,154,yes,fairly,72404,question-mission88-agent1,366,no,completely,41538,question-mission41-agent0,257,yes,fairly,90319,question-mission65-agent2,326,yes,fairly,45807
